Ticker,Date,Name,Sector,Industry,Country,Website,Market Cap,Enterprise Value,Float Shares,Shares Outstanding,P/E (trailing),P/E (forward),P/S,P/B,EV/EBITDA,EV/Revenue,Gross Margin (%),EBITDA Margin (%),Operating Margin (%),Profit Margin (%),ROE,ROA,Revenue (TTM),Revenue Growth (%),EPS (trailing),EPS (forward),Earnings Growth (%),Earnings Quarterly Growth (%),Total Cash,Total Debt,Debt to Equity,Current Ratio,Quick Ratio,Book Value,Free Cash Flow,Operating Cash Flow,Dividend Yield (%),Dividend Rate (%),5Y Avg Dividend Yield (%),Payout Ratio (%),Price,Target Price,Target High,Target Low,Analyst Rating,Analyst Rating Value,Beta,52W High,52W Low,50 Day Avg,200 Day Avg,Short Ratio,Short % of Float
ANET,2025-06-11,Arista Networks Inc,Technology,Computer Hardware,United States,https://www.arista.com,117522710528.0,109530234880.0,1029441119.0,1255920000.0,40.68,9.62,15.81,11.62,34.37,14.73,0.6409,0.4285,0.4284,0.4072,0.34,0.16,7436546048.0,0.276,2.3,9.73,0.28,0.276,8149600256.0,0.0,,3.93,3.07,8.05,3057000960.0,3836134912.0,0.0,0.0,0.0,0.0,93.58,105.88,130.0,79.0,buy,1.71,1.38,133.57,59.43,84.24,96.0,2.08,0.02
ANSS,2025-06-11,"ANSYS, Inc.",Technology,Software - Application,United States,https://www.ansys.com,30568427520.0,29453090816.0,87477441.0,87916096.0,50.98,31.58,11.84,4.95,33.54,11.4,0.9248,0.3399,0.1166,0.2295,0.1,0.06,2583095040.0,0.082,6.82,11.01,0.477,0.491,1828558976.0,860905024.0,13.93,3.66,3.56,70.29,772483648.0,911857984.0,0.0,0.0,0.0,0.0,347.7,347.71,360.0,340.0,hold,2.91,1.19,363.03,275.06,323.83,330.18,2.57,0.03
AON,2025-06-11,Aon plc,Financial Services,Insurance Brokers,Ireland,https://www.aon.com,75621113856.0,93536231424.0,209055751.0,215940000.0,30.45,20.14,4.62,10.8,17.82,5.72,0.4675,0.3208,0.3335,0.1558,0.72,0.06,16357000192.0,0.162,11.5,17.39,-0.172,-0.099,1192000000.0,18510000128.0,254.47,1.05,0.25,32.41,3189374976.0,2865999872.0,0.0084,0.0298,0.0076,0.2334,350.2,396.07,449.0,332.65,buy,2.4,0.86,412.97,285.35,365.2,368.71,4.17,0.02
AOS,2025-06-11,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,United States,https://www.aosmith.com,9380615168.0,9437848576.0,114100771.0,116239000.0,18.18,16.22,2.46,5.06,12.27,2.48,0.3804,0.2022,0.1897,0.1374,0.28,0.13,3803200000.0,-0.015,3.63,4.07,-0.05,-0.075,200200000.0,295800000.0,15.94,1.61,0.95,13.05,344950016.0,513900000.0,0.021,0.013600000000000001,0.0171,0.3687,66.01,76.18,95.0,59.0,buy,2.47,1.21,92.45,58.83,65.69,71.73,2.61,0.04
APA,2025-06-11,APA Corporation,Energy,Oil & Gas E&P,United States,https://www.apacorp.com,6913140224.0,13408094208.0,358849646.0,360844992.0,6.63,6.97,0.68,1.27,2.25,1.32,0.6729,0.588,0.282,0.1004,0.26,0.08,10147999744.0,0.344,2.89,2.75,1.181,1.629,67000000.0,5490999808.0,84.96,0.88,0.68,15.04,2278000128.0,4348000256.0,0.0537,0.01,0.024,0.3584,19.16,22.63,35.0,14.0,hold,2.9,1.25,33.41,13.58,16.89,21.67,4.99,0.12
APD,2025-06-11,"Air Products and Chemicals, Inc.",Basic Materials,Specialty Chemicals,United States,https://www.airproducts.com,62695006208.0,79731261440.0,221444846.0,222544000.0,40.3,19.88,5.22,4.26,18.52,6.63,0.3195,0.3581,0.2118,0.1276,0.1,0.05,12020700160.0,-0.005,6.99,14.17,,,1608099968.0,16532400128.0,98.53,1.0,0.77,66.07,-3988649984.0,3358200064.0,0.0256,0.0716,0.0229,1.0231,281.72,317.93,375.0,260.0,buy,2.04,0.87,341.14,243.69,272.52,297.9,3.22,0.02
APH,2025-06-11,Amphenol Corporation,Technology,Electronic Components,United States,https://www.amphenol.com,112547233792.0,117442215936.0,1201724591.0,1209600000.0,45.39,43.08,6.7,10.92,26.38,7.0,0.3441,0.2654,0.2348,0.1557,0.28,0.12,16777400320.0,0.477,2.05,2.16,0.318,0.345,1671699968.0,7166900224.0,69.1,1.99,1.22,8.52,1426462464.0,2980100096.0,0.0071,0.0066,0.0091,0.2937,93.04,92.08,106.0,70.0,buy,1.94,1.13,94.11,54.77,78.02,70.74,2.28,0.02
APO,2025-06-11,"Apollo Global Management, Inc.",Financial Services,Asset Management,United States,https://www.apollo.com/institutional/homepage,79574827008.0,97523048448.0,446479870.0,571494016.0,23.92,16.42,3.26,4.79,,4.0,0.4424,0.0,0.2954,0.1473,0.19,0.02,24387000320.0,-0.215,5.82,8.48,-0.703,-0.69,25016999936.0,29268000768.0,90.49,1.79,1.68,29.06,,4195000064.0,0.0153,0.0204,0.0276,0.3229,139.24,156.88,179.0,135.0,buy,1.68,1.57,189.49,95.11,131.61,144.67,7.69,0.05
APTV,2025-06-11,Aptiv PLC,Consumer Cyclical,Auto Parts,Switzerland,https://www.aptiv.com,15353230336.0,22953695232.0,215533588.0,217730000.0,11.0,10.1,0.78,1.76,7.39,1.17,0.1925,0.1581,0.1067,0.0793,0.15,0.06,19637000192.0,-0.016,6.41,6.98,,,1100000000.0,8439000064.0,91.19,1.61,1.08,40.04,1634625024.0,2475000064.0,0.0,0.0,0.0116,0.0,70.52,74.89,95.0,55.0,buy,2.05,1.47,80.95,47.19,60.25,62.84,2.3,0.03
ARE,2025-06-11,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,United States,https://www.are.com,12770912256.0,30206001152.0,154108868.0,172988992.0,94.65,21.46,4.1,0.72,15.32,9.71,0.7052,0.6337,0.2092,0.0461,0.01,0.01,3111841024.0,-0.015,0.78,3.44,,,476430016.0,13462246400.0,61.19,3.38,2.87,102.66,1259089792.0,1371315968.0,0.0736,0.0528,0.0352,6.8947,73.82,101.69,144.0,74.0,buy,2.46,1.27,130.14,67.37,75.03,99.06,3.21,0.05
